RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerName,PlayerPosition,PlayerNationality,PlayerMarketValue,,,,
1679742361-308,VfL Bochum,Bundesliga,Copa 20.1,Fusionskin,adidas,Precision To Blur,Control,Midfield,Paulo Dybala,Ivan Ordets,Center Back,Ukraine,€4 million,,,,
1679742361-311,VfL Bochum,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Keven Schlotterbeck,Center Back,Germany,€3 million,,,,
1679742361-313,VfL Bochum,Bundesliga,X Speedportal+,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi,Jordi Osei-Tutu,Right Back,England,€2 million,,,,
1679742361-314,VfL Bochum,Bundesliga,Predator Edge.1 Low,Primeknit,adidas,Game Data,Control,Midfield,Jude Bellingham,Vasilios Lampropoulos,Center Back,Greece,€1 million,,,,
1679742361-318,VfL Bochum,Bundesliga,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Michael Esser,Goalkeeper,Germany,€0 million,,,,
1679742361-326,Hertha BSC,Bundesliga,X Speedportal.1,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi,Florian Niederlechner,Center Forward,Germany,€2 million,,,,
1679742361-347,Hertha BSC,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Tjark Ernst,Goalkeeper,Germany,€0 million,,,,
1679742361-349,FC Augsburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Irvin Cardona,Center Forward,France,€3 million,,,,
1679742361-352,FC Augsburg,Bundesliga,X Speedflow.1,Synthetic,adidas,White Spark,Speed,Attack,Lionel Messi,André Hahn,Right Winger,Germany,€2 million,,,,
1679742361-357,FC Augsburg,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Mergim Berisha,Center Forward,Germany,€6 million,,,,
1679742361-360,FC Augsburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Fredrik Jensen,Attacking Midfielder,Finland,€3 million,,,,
1679742361-366,FC Augsburg,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Elvis Rexhbecaj,Central Midfielder,Germany,€4 million,,,,
