Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs)
46,2009 (2004),1,Andhra Pradesh,East Godavari,48894,69354,25.18,25.93,54657,78716,28.14,29.43,90657,119365,46.68,44.63,194207,267435,52
46,2010 (2004),1,Andhra Pradesh,East Godavari,55821,90293,25.53,27.28,60916,96643,27.86,29.2,101909,144075,46.61,43.53,218646,331011,65
46,2011 (2004),1,Andhra Pradesh,East Godavari,57810,94983,25.14,25.9,63876,108716,27.78,29.65,108246,163016,47.08,44.45,229932,366714,71
46,2012 (2004),1,Andhra Pradesh,East Godavari,61960,108785,25.87,26.44,62923,115615,26.27,28.1,114596,186996,47.85,45.45,239479,411395,79
46,2013 (2004),1,Andhra Pradesh,East Godavari,65850,122095,26.46,26.7,63925,123701,25.68,27.05,119132,211445,47.86,46.24,248906,457241,88
47,2007 (2004),1,Andhra Pradesh,West Godavari,44835,54414,33.66,34.31,28144,34670,21.13,21.86,60225,69530,45.21,43.84,133204,158614,41
47,2008 (2004),1,Andhra Pradesh,West Godavari,44532,61601,31.88,33.63,30580,41572,21.89,22.7,64591,79987,46.23,43.67,139704,183160,47
47,2009 (2004),1,Andhra Pradesh,West Godavari,50141,78299,32.99,36.32,31187,44215,20.52,20.51,70659,93084,46.49,43.17,151986,215598,55
47,2010 (2004),1,Andhra Pradesh,West Godavari,54319,100187,32.02,37.32,35001,54232,20.63,20.2,80330,114022,47.35,42.48,169650,268440,68
47,2011 (2004),1,Andhra Pradesh,West Godavari,53204,102086,29.77,34.32,40128,65835,22.45,22.13,85393,129510,47.78,43.54,178725,297431,76
