id,title,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
112,Weapons Of Mythology,A 3D free-to-play fantasy MMORPG published by IDC/Games. ,https://www.freetogame.com/open/weapons-of-mythology,MMORPG,PC (Windows),IDC/Games,Gamemag,2016-06-07,https://www.freetogame.com/weapons-of-mythology
116,Tree of Savior,"A fantasy 3D MMORPG with a massive freedom of choice, cute looking characters and a distinct art style. ",https://www.freetogame.com/open/tree-of-savior,MMORPG,PC (Windows),IMC Games,IMC Games,2016-05-10,https://www.freetogame.com/tree-of-savior
120,Luna Online: Reborn,"A free-to-play, anime themed fantasy MMORPG and a remake of the previous Luna MMO! ",https://www.freetogame.com/open/luna-online,MMORPG,PC (Windows),Suba Games,Suba Games,2017-10-17,https://www.freetogame.com/luna-online
154,Sphere 3: Enchanted World,A fantasy action MMORPG with a non-target combat system.,https://www.freetogame.com/open/sphere-3,MMORPG,PC (Windows),NIKITA ONLINE,NIKITA ONLINE,2015-08-18,https://www.freetogame.com/sphere-3
161,Skyforge,A impressive Free to play MMORPG where you can become a god! ,https://www.freetogame.com/open/skyforge,MMORPG,PC (Windows),My.com,Allods Team & Obsidian Entertainment Collaboration,2015-07-16,https://www.freetogame.com/skyforge
167,Salem,"A free-to-play, sandbox type MMO based on the times and trials of living.",https://www.freetogame.com/open/salem,MMORPG,PC (Windows),Mortal Moments,John Carver,2015-06-19,https://www.freetogame.com/salem
185,Eldevin,A indie story-driven Free to Play MMORPG.,https://www.freetogame.com/open/eldevin,MMORPG,"PC (Windows), Web Browser",Hunted Cow Studios,Hunted Cow Studios,2014-11-05,https://www.freetogame.com/eldevin
190,Ryzom,An MMORPG where players are immersed in a massive sandbox world.,https://www.freetogame.com/open/ryzom,MMORPG,PC (Windows),Winch Gate,Nevrax,2004-09-19,https://www.freetogame.com/ryzom
195,Divine Souls,A action-based MMORPG in a fantasy world with magic and technology. ,https://www.freetogame.com/open/divine-souls,MMORPG,PC (Windows),Suba Games ,GamePrix ,2014-08-15,https://www.freetogame.com/divine-souls
198,Creativerse,"Playful Corporation enters the sandbox, voxel world with their free-to-play title Creativers.",https://www.freetogame.com/open/creativerse,MMO,PC (Windows),Playful Corporation,Playful Corporation,2014-08-12,https://www.freetogame.com/creativerse
205,Elsword,A Free to Play 3D side scrolling action MMORPG with many heroes.,https://www.freetogame.com/open/elsword,MMORPG,PC (Windows),KOG Games,KOG,2011-03-23,https://www.freetogame.com/elsword
206,Aura Kingdom,Aura Kingdom is a 3D free-to-play Anime MMORPG from the same great studio that brought us Eden Eterna.,https://www.freetogame.com/open/aura-kingdom,MMORPG,PC (Windows),X-Legend,X-Legend,2013-12-23,https://www.freetogame.com/aura-kingdom
221,Lucent Heart,A free to play MMORPG with a match making system that helps players find their soulmates.,https://www.freetogame.com/open/lucent-heart,MMORPG,PC (Windows),Suba Games,Playcoco (Subsidiary of Gamania),2014-01-10,https://www.freetogame.com/lucent-heart
225,RIFT,Trion Worlds’ flagship fantasy massively multiplayer online role-playing game.,https://www.freetogame.com/open/rift,MMORPG,PC (Windows),Trion Worlds,Trion Worlds,2013-10-24,https://www.freetogame.com/rift
226,Path of Exile,A free-to-play massively multiplayer online ARPG in the style of Diablo.,https://www.freetogame.com/open/path-of-exile,MMORPG,PC (Windows),Grinding Gear Games,Grinding Gear Games,2013-10-23,https://www.freetogame.com/path-of-exile
230,Ragnarok Online 2,"A 3D fantasy MMORPG, and sequel to the popular Ragnarok Online.",https://www.freetogame.com/open/ragnarok-online-2,MMORPG,PC (Windows),Gravity Interactive,"Gravity, Inc.",2013-05-01,https://www.freetogame.com/ragnarok-online-2
232,Age of Wushu,A free-to-play martial arts action MMORPG with a large open world and sandbox-like features.,https://www.freetogame.com/open/age-of-wushu,MMORPG,PC (Windows),Snail Games,Snail Games,2012-12-20,https://www.freetogame.com/age-of-wushu
234,Champions of Regnum,"A free to play, realm versus realm fantasy MMORPG.",https://www.freetogame.com/open/champions-of-regnum,MMORPG,PC (Windows),NGD Studios,NGD Studios,2013-02-27,https://www.freetogame.com/champions-of-regnum
241,Everquest,"A fantasy MMORPG nearly two decades in the making. In fact, it’s the game that started it all! ",https://www.freetogame.com/open/everquest,MMORPG,PC (Windows),Daybreak Games,Daybreak Games,2012-12-13,https://www.freetogame.com/everquest
