uniqueID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,release_date,album_id
59,0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,audio_features,2Ch7LmS7r2Gy2kc64wv3Bz,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253,4,Die For You,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
60,0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,audio_features,3dhjNA0jGA8vHBQ1VdD6vV,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/audio-analysis/3dhjNA0jGA8vHBQ1VdD6vV,269187,4,I Feel It Coming,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
61,0.58,0.653,11,-5.04,0,0.0506,0.438,0,0.351,0.346,90.726,audio_features,60jW6P7AGw2FozTaqctJ4i,spotify:track:60jW6P7AGw2FozTaqctJ4i,https://api.spotify.com/v1/tracks/60jW6P7AGw2FozTaqctJ4i,https://api.spotify.com/v1/audio-analysis/60jW6P7AGw2FozTaqctJ4i,223347,4,Real Life,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
62,0.661,0.483,0,-9.793,0,0.0496,0.0309,0.000801,0.507,0.296,90.994,audio_features,2bWO9puW3hXQcZZsehDRCo,spotify:track:2bWO9puW3hXQcZZsehDRCo,https://api.spotify.com/v1/tracks/2bWO9puW3hXQcZZsehDRCo,https://api.spotify.com/v1/audio-analysis/2bWO9puW3hXQcZZsehDRCo,281173,4,Losers,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
63,0.565,0.454,1,-11.091,0,0.0461,0.265,0,0.181,0.312,74.809,audio_features,4cgDltqQz6YKPotLNbfGDn,spotify:track:4cgDltqQz6YKPotLNbfGDn,https://api.spotify.com/v1/tracks/4cgDltqQz6YKPotLNbfGDn,https://api.spotify.com/v1/audio-analysis/4cgDltqQz6YKPotLNbfGDn,334200,4,Tell Your Friends,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
64,0.567,0.622,7,-9.821,0,0.046,0.248,0,0.139,0.0751,133.984,audio_features,3Hf7SsKqVeZ0uW164edrJl,spotify:track:3Hf7SsKqVeZ0uW164edrJl,https://api.spotify.com/v1/tracks/3Hf7SsKqVeZ0uW164edrJl,https://api.spotify.com/v1/audio-analysis/3Hf7SsKqVeZ0uW164edrJl,249107,4,Often,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
65,0.374,0.55,0,-7.007,0,0.0848,0.0841,0,0.139,0.124,112.912,audio_features,7H5EBs3aGqRPZaGEvU6y6F,spotify:track:7H5EBs3aGqRPZaGEvU6y6F,https://api.spotify.com/v1/tracks/7H5EBs3aGqRPZaGEvU6y6F,https://api.spotify.com/v1/audio-analysis/7H5EBs3aGqRPZaGEvU6y6F,242280,4,The Hills,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
66,0.485,0.481,7,-9.858,0,0.051,0.437,0,0.0861,0.233,105.934,audio_features,5OejsjQoFVXniKLsXYs7G4,spotify:track:5OejsjQoFVXniKLsXYs7G4,https://api.spotify.com/v1/tracks/5OejsjQoFVXniKLsXYs7G4,https://api.spotify.com/v1/audio-analysis/5OejsjQoFVXniKLsXYs7G4,348893,4,Acquainted,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
67,0.705,0.769,9,-5.526,0,0.0426,0.112,0,0.105,0.59,107.939,audio_features,64bYIchESwtANfBlwJoK1e,spotify:track:64bYIchESwtANfBlwJoK1e,https://api.spotify.com/v1/tracks/64bYIchESwtANfBlwJoK1e,https://api.spotify.com/v1/audio-analysis/64bYIchESwtANfBlwJoK1e,213520,4,Can't Feel My Face,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
68,0.603,0.562,6,-8.311,1,0.0267,0.146,0,0.109,0.244,100.038,audio_features,7MMQME7nvRBZ1ru82bJ9of,spotify:track:7MMQME7nvRBZ1ru82bJ9of,https://api.spotify.com/v1/tracks/7MMQME7nvRBZ1ru82bJ9of,https://api.spotify.com/v1/audio-analysis/7MMQME7nvRBZ1ru82bJ9of,253507,4,Shameless,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
69,0.647,0.291,2,-8.275,0,0.0363,0.408,0,0.0772,0.4,119.839,audio_features,7ID2dydg1QFuWObmdhwzfm,spotify:track:7ID2dydg1QFuWObmdhwzfm,https://api.spotify.com/v1/tracks/7ID2dydg1QFuWObmdhwzfm,https://api.spotify.com/v1/audio-analysis/7ID2dydg1QFuWObmdhwzfm,277707,3,Earned It (Fifty Shades Of Grey),Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
70,0.4,0.673,7,-4.967,1,0.125,0.0803,0,0.0484,0.508,112.122,audio_features,17ghHlAfjnAIEpYGTlX4GL,spotify:track:17ghHlAfjnAIEpYGTlX4GL,https://api.spotify.com/v1/tracks/17ghHlAfjnAIEpYGTlX4GL,https://api.spotify.com/v1/audio-analysis/17ghHlAfjnAIEpYGTlX4GL,235627,4,In The Night,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
71,0.371,0.329,0,-9.667,0,0.0574,0.131,0.00625,0.279,0.0539,173.661,audio_features,2d1ogCmohNk5jsRTk0eCNs,spotify:track:2d1ogCmohNk5jsRTk0eCNs,https://api.spotify.com/v1/tracks/2d1ogCmohNk5jsRTk0eCNs,https://api.spotify.com/v1/audio-analysis/2d1ogCmohNk5jsRTk0eCNs,340493,4,As You Are,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
72,0.501,0.403,9,-9.607,0,0.0752,0.114,1.10E-05,0.124,0.27,132.608,audio_features,3JOh1LxSDVjTLF5DAB8R5M,spotify:track:3JOh1LxSDVjTLF5DAB8R5M,https://api.spotify.com/v1/tracks/3JOh1LxSDVjTLF5DAB8R5M,https://api.spotify.com/v1/audio-analysis/3JOh1LxSDVjTLF5DAB8R5M,260640,3,Dark Times,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
73,0.55,0.404,0,-12.755,0,0.0398,0.441,0.00022,0.11,0.329,135.016,audio_features,3q3INoUz56tAaKXZSkONon,spotify:track:3q3INoUz56tAaKXZSkONon,https://api.spotify.com/v1/tracks/3q3INoUz56tAaKXZSkONon,https://api.spotify.com/v1/audio-analysis/3q3INoUz56tAaKXZSkONon,274960,4,Prisoner,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
74,0.626,0.583,10,-7.574,0,0.0435,0.105,0,0.115,0.335,127.956,audio_features,2qHMUxqGht8K1wNjXG40wH,spotify:track:2qHMUxqGht8K1wNjXG40wH,https://api.spotify.com/v1/tracks/2qHMUxqGht8K1wNjXG40wH,https://api.spotify.com/v1/audio-analysis/2qHMUxqGht8K1wNjXG40wH,377627,4,Angel,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
75,0.605,0.714,9,-5.432,0,0.101,0.0104,2.35E-05,0.324,0.136,128.025,audio_features,5KIfOGEy5DM2TaT0ph5nYM,spotify:track:5KIfOGEy5DM2TaT0ph5nYM,https://api.spotify.com/v1/tracks/5KIfOGEy5DM2TaT0ph5nYM,https://api.spotify.com/v1/audio-analysis/5KIfOGEy5DM2TaT0ph5nYM,253933,4,Can't Feel My Face - Martin Garrix Remix,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
76,0.65,0.632,0,-6.672,0,0.184,0.0681,0,0.0875,0.33,112.927,audio_features,2jpBr2dJrIgrpkqorINSAa,spotify:track:2jpBr2dJrIgrpkqorINSAa,https://api.spotify.com/v1/tracks/2jpBr2dJrIgrpkqorINSAa,https://api.spotify.com/v1/audio-analysis/2jpBr2dJrIgrpkqorINSAa,263960,4,The Hills - Remix,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
77,0.409,0.602,0,-7.025,0,0.108,0.0974,0,0.107,0.186,110.463,audio_features,019FM2BxcPE2vyGWeOWhvS,spotify:track:019FM2BxcPE2vyGWeOWhvS,https://api.spotify.com/v1/tracks/019FM2BxcPE2vyGWeOWhvS,https://api.spotify.com/v1/audio-analysis/019FM2BxcPE2vyGWeOWhvS,243493,4,The Hills - Remix,Beauty Behind The Madness,16-03-16,36yJ6fcaSCVsK1tybnNizj
78,0.405,0.619,11,-8.92,0,0.0618,0.163,0.000322,0.0788,0.234,120.087,audio_features,7gSjRw3wKuTeDdM0lwp9rv,spotify:track:7gSjRw3wKuTeDdM0lwp9rv,https://api.spotify.com/v1/tracks/7gSjRw3wKuTeDdM0lwp9rv,https://api.spotify.com/v1/audio-analysis/7gSjRw3wKuTeDdM0lwp9rv,368720,4,Professional,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
79,0.625,0.523,1,-8.227,0,0.0369,0.366,2.54E-06,0.0826,0.191,139.964,audio_features,3lcEVP5beEkAFiFIG5D0QF,spotify:track:3lcEVP5beEkAFiFIG5D0QF,https://api.spotify.com/v1/tracks/3lcEVP5beEkAFiFIG5D0QF,https://api.spotify.com/v1/audio-analysis/3lcEVP5beEkAFiFIG5D0QF,307347,4,The Town,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
80,0.642,0.793,11,-6.799,0,0.0691,0.159,0.000557,0.305,0.623,114.96,audio_features,3FvDYk5IC5Um84kK5FbJGR,spotify:track:3FvDYk5IC5Um84kK5FbJGR,https://api.spotify.com/v1/tracks/3FvDYk5IC5Um84kK5FbJGR,https://api.spotify.com/v1/audio-analysis/3FvDYk5IC5Um84kK5FbJGR,283933,4,Adaptation,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
81,0.645,0.736,9,-6.862,0,0.0514,0.16,0.000156,0.6,0.347,115.03,audio_features,5vjgyZm1Zhtg4RptN4evNQ,spotify:track:5vjgyZm1Zhtg4RptN4evNQ,https://api.spotify.com/v1/tracks/5vjgyZm1Zhtg4RptN4evNQ,https://api.spotify.com/v1/audio-analysis/5vjgyZm1Zhtg4RptN4evNQ,267920,4,Love In The Sky,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
82,0.503,0.858,5,-6.27,0,0.0578,0.00392,0,0.119,0.361,121.008,audio_features,4w1dIZxwO83XpKo5wgLhkk,spotify:track:4w1dIZxwO83XpKo5wgLhkk,https://api.spotify.com/v1/tracks/4w1dIZxwO83XpKo5wgLhkk,https://api.spotify.com/v1/audio-analysis/4w1dIZxwO83XpKo5wgLhkk,307173,4,Belong To The World,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
83,0.624,0.68,0,-7.64,1,0.112,0.517,0,0.114,0.227,75.983,audio_features,4ER9305DBAmJqj2P96TfBr,spotify:track:4ER9305DBAmJqj2P96TfBr,https://api.spotify.com/v1/tracks/4ER9305DBAmJqj2P96TfBr,https://api.spotify.com/v1/audio-analysis/4ER9305DBAmJqj2P96TfBr,222667,4,Live For,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
84,0.637,0.652,1,-5.237,0,0.0435,0.0664,0.177,0.0714,0.0725,115.923,audio_features,5OmX5lXxZ5sQgPuSHDn293,spotify:track:5OmX5lXxZ5sQgPuSHDn293,https://api.spotify.com/v1/tracks/5OmX5lXxZ5sQgPuSHDn293,https://api.spotify.com/v1/audio-analysis/5OmX5lXxZ5sQgPuSHDn293,306773,4,Wanderlust,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
85,0.324,0.852,11,-6.675,0,0.109,0.0415,0,0.0609,0.4,121.886,audio_features,5FUn6vN4PDHXxqnb5LQhJQ,spotify:track:5FUn6vN4PDHXxqnb5LQhJQ,https://api.spotify.com/v1/tracks/5FUn6vN4PDHXxqnb5LQhJQ,https://api.spotify.com/v1/audio-analysis/5FUn6vN4PDHXxqnb5LQhJQ,455333,4,Kiss Land,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
86,0.572,0.685,11,-6.829,0,0.0397,0.0355,3.43E-05,0.315,0.328,126.049,audio_features,3ZhnXFSunfOPWSqfLLQA9W,spotify:track:3ZhnXFSunfOPWSqfLLQA9W,https://api.spotify.com/v1/tracks/3ZhnXFSunfOPWSqfLLQA9W,https://api.spotify.com/v1/audio-analysis/3ZhnXFSunfOPWSqfLLQA9W,375400,4,Pretty,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
87,0.655,0.636,1,-7.841,1,0.0452,0.109,0.23,0.0842,0.191,160.01,audio_features,7FeSiBUEyqxlKvjGbfwKku,spotify:track:7FeSiBUEyqxlKvjGbfwKku,https://api.spotify.com/v1/tracks/7FeSiBUEyqxlKvjGbfwKku,https://api.spotify.com/v1/audio-analysis/7FeSiBUEyqxlKvjGbfwKku,444653,4,Tears In The Rain,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
88,0.744,0.599,1,-7.476,0,0.0407,0.0997,0.00165,0.104,0.477,116.007,audio_features,14p9UeyB3zxuo62wRjk5iR,spotify:track:14p9UeyB3zxuo62wRjk5iR,https://api.spotify.com/v1/tracks/14p9UeyB3zxuo62wRjk5iR,https://api.spotify.com/v1/audio-analysis/14p9UeyB3zxuo62wRjk5iR,305693,4,Wanderlust,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
89,0.627,0.897,10,-3.647,0,0.0504,0.246,0,0.117,0.257,104.947,audio_features,7xcqbjV2NfxlnJzqdRuO7E,spotify:track:7xcqbjV2NfxlnJzqdRuO7E,https://api.spotify.com/v1/tracks/7xcqbjV2NfxlnJzqdRuO7E,https://api.spotify.com/v1/audio-analysis/7xcqbjV2NfxlnJzqdRuO7E,252853,4,Odd Look,Kiss Land (Deluxe),10-09-13,6wRev1uYL0JsMsWqktJuVi
90,0.465,0.403,11,-8.895,0,0.0755,0.744,0.000667,0.0777,0.0687,74.95,audio_features,5fohLPNqO6TqwrZ7BoUWUT,spotify:track:5fohLPNqO6TqwrZ7BoUWUT,https://api.spotify.com/v1/tracks/5fohLPNqO6TqwrZ7BoUWUT,https://api.spotify.com/v1/audio-analysis/5fohLPNqO6TqwrZ7BoUWUT,247227,4,High For This,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
91,0.657,0.405,0,-8.637,0,0.0584,0.525,0.072,0.146,0.0673,133.895,audio_features,7IpDQcksaT8SxS7vOX4SRm,spotify:track:7IpDQcksaT8SxS7vOX4SRm,https://api.spotify.com/v1/tracks/7IpDQcksaT8SxS7vOX4SRm,https://api.spotify.com/v1/audio-analysis/7IpDQcksaT8SxS7vOX4SRm,196360,4,What You Need,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
92,0.65,0.711,0,-5.417,1,0.0377,0.0123,0.00943,0.301,0.319,89.019,audio_features,50iiDJGpAPdr2VTrz999XA,spotify:track:50iiDJGpAPdr2VTrz999XA,https://api.spotify.com/v1/tracks/50iiDJGpAPdr2VTrz999XA,https://api.spotify.com/v1/audio-analysis/50iiDJGpAPdr2VTrz999XA,405213,4,House Of Balloons / Glass Table Girls,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
93,0.652,0.549,6,-7.555,0,0.039,0.317,0,0.104,0.186,120.073,audio_features,6u0dQik0aif7FQlrhycG1L,spotify:track:6u0dQik0aif7FQlrhycG1L,https://api.spotify.com/v1/tracks/6u0dQik0aif7FQlrhycG1L,https://api.spotify.com/v1/audio-analysis/6u0dQik0aif7FQlrhycG1L,312427,4,The Morning,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
94,0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27E-06,0.325,0.326,114.078,audio_features,6VwBbL8CzPiC4QV66ay7oR,spotify:track:6VwBbL8CzPiC4QV66ay7oR,https://api.spotify.com/v1/tracks/6VwBbL8CzPiC4QV66ay7oR,https://api.spotify.com/v1/audio-analysis/6VwBbL8CzPiC4QV66ay7oR,323747,4,Wicked Games,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
95,0.438,0.634,5,-7.456,0,0.337,0.476,0,0.113,0.397,203.585,audio_features,0dcf0L6F1LUA1nE2zWH4J2,spotify:track:0dcf0L6F1LUA1nE2zWH4J2,https://api.spotify.com/v1/tracks/0dcf0L6F1LUA1nE2zWH4J2,https://api.spotify.com/v1/audio-analysis/0dcf0L6F1LUA1nE2zWH4J2,459387,4,The Party & The After Party,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
96,0.665,0.612,2,-4.664,0,0.0314,0.487,0.000194,0.183,0.25,120.989,audio_features,3PsS445MHcmtroGTstfTbm,spotify:track:3PsS445MHcmtroGTstfTbm,https://api.spotify.com/v1/tracks/3PsS445MHcmtroGTstfTbm,https://api.spotify.com/v1/audio-analysis/3PsS445MHcmtroGTstfTbm,295453,4,Coming Down,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
97,0.287,0.498,6,-7.523,0,0.177,0.581,7.56E-05,0.322,0.0634,171.725,audio_features,7xqANDRz8JFxkwfY65WISy,spotify:track:7xqANDRz8JFxkwfY65WISy,https://api.spotify.com/v1/tracks/7xqANDRz8JFxkwfY65WISy,https://api.spotify.com/v1/audio-analysis/7xqANDRz8JFxkwfY65WISy,363640,4,Loft Music,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
98,0.451,0.573,6,-8.277,0,0.0303,0.571,0.00744,0.172,0.087,85.921,audio_features,6AirEKLAv80bFaIDKpMi7I,spotify:track:6AirEKLAv80bFaIDKpMi7I,https://api.spotify.com/v1/tracks/6AirEKLAv80bFaIDKpMi7I,https://api.spotify.com/v1/audio-analysis/6AirEKLAv80bFaIDKpMi7I,340333,4,The Knowing,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
99,0.639,0.633,3,-7.338,0,0.0352,0.574,0.000218,0.111,0.243,129.996,audio_features,1FJrsh1NbV9eRw5JQt3M4e,spotify:track:1FJrsh1NbV9eRw5JQt3M4e,https://api.spotify.com/v1/tracks/1FJrsh1NbV9eRw5JQt3M4e,https://api.spotify.com/v1/audio-analysis/1FJrsh1NbV9eRw5JQt3M4e,258453,4,Twenty Eight,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
100,0.458,0.705,4,-5.463,0,0.0672,0.395,0.0195,0.601,0.15,157.97,audio_features,0p3sSUXDohjddeKlnvGbCD,spotify:track:0p3sSUXDohjddeKlnvGbCD,https://api.spotify.com/v1/tracks/0p3sSUXDohjddeKlnvGbCD,https://api.spotify.com/v1/audio-analysis/0p3sSUXDohjddeKlnvGbCD,349213,4,Lonely Star,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
101,0.554,0.696,9,-7.664,1,0.0335,0.0237,4.51E-05,0.505,0.446,138.051,audio_features,4yzaniwZb01bp0gT5BYwBv,spotify:track:4yzaniwZb01bp0gT5BYwBv,https://api.spotify.com/v1/tracks/4yzaniwZb01bp0gT5BYwBv,https://api.spotify.com/v1/audio-analysis/4yzaniwZb01bp0gT5BYwBv,296227,4,Life Of The Party,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
102,0.307,0.625,5,-8.983,0,0.062,0.472,0.000577,0.144,0.183,180.467,audio_features,4fiYSa6ln7h0scprgNEs0g,spotify:track:4fiYSa6ln7h0scprgNEs0g,https://api.spotify.com/v1/tracks/4fiYSa6ln7h0scprgNEs0g,https://api.spotify.com/v1/audio-analysis/4fiYSa6ln7h0scprgNEs0g,320027,3,Thursday,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
103,0.619,0.521,3,-8.092,0,0.0744,0.26,0.000542,0.101,0.254,139.886,audio_features,46X8c9qJzpBLYcos3OX0CE,spotify:track:46X8c9qJzpBLYcos3OX0CE,https://api.spotify.com/v1/tracks/46X8c9qJzpBLYcos3OX0CE,https://api.spotify.com/v1/audio-analysis/46X8c9qJzpBLYcos3OX0CE,418507,4,The Zone,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
104,0.571,0.692,0,-6.656,0,0.0545,0.0245,0,0.0813,0.22,127.937,audio_features,323ujVhfSg16TlRK0PB5JY,spotify:track:323ujVhfSg16TlRK0PB5JY,https://api.spotify.com/v1/tracks/323ujVhfSg16TlRK0PB5JY,https://api.spotify.com/v1/audio-analysis/323ujVhfSg16TlRK0PB5JY,214187,4,The Birds Pt. 1,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
105,0.296,0.518,9,-9.571,0,0.0489,0.745,3.31E-05,0.462,0.0755,183.672,audio_features,51LmI5GE3tHKISLNZMjDPC,spotify:track:51LmI5GE3tHKISLNZMjDPC,https://api.spotify.com/v1/tracks/51LmI5GE3tHKISLNZMjDPC,https://api.spotify.com/v1/audio-analysis/51LmI5GE3tHKISLNZMjDPC,350640,4,The Birds Pt. 2,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
106,0.494,0.697,7,-7.232,0,0.309,0.708,0.000405,0.0602,0.344,107.669,audio_features,3vFj4xuQTXHOuo6L0qGafv,spotify:track:3vFj4xuQTXHOuo6L0qGafv,https://api.spotify.com/v1/tracks/3vFj4xuQTXHOuo6L0qGafv,https://api.spotify.com/v1/audio-analysis/3vFj4xuQTXHOuo6L0qGafv,486773,4,Gone,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
107,0.693,0.323,3,-11.97,0,0.0306,0.405,2.19E-05,0.149,0.669,129.964,audio_features,29fTi7Tdh9CiU8HuVDaqVY,spotify:track:29fTi7Tdh9CiU8HuVDaqVY,https://api.spotify.com/v1/tracks/29fTi7Tdh9CiU8HuVDaqVY,https://api.spotify.com/v1/audio-analysis/29fTi7Tdh9CiU8HuVDaqVY,230547,4,Rolling Stone,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
108,0.524,0.708,11,-8.217,0,0.0603,0.014,0.000166,0.13,0.183,125.025,audio_features,3hDnFYwpnY0wONZDkYxUsj,spotify:track:3hDnFYwpnY0wONZDkYxUsj,https://api.spotify.com/v1/tracks/3hDnFYwpnY0wONZDkYxUsj,https://api.spotify.com/v1/audio-analysis/3hDnFYwpnY0wONZDkYxUsj,353307,4,Heaven Or Las Vegas,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
109,0.641,0.539,5,-6.351,0,0.0463,0.346,7.04E-06,0.0837,0.436,148.004,audio_features,4fLnXd56RsWN4ZBtb9TegQ,spotify:track:4fLnXd56RsWN4ZBtb9TegQ,https://api.spotify.com/v1/tracks/4fLnXd56RsWN4ZBtb9TegQ,https://api.spotify.com/v1/audio-analysis/4fLnXd56RsWN4ZBtb9TegQ,286680,4,Valerie,Trilogy,13-11-12,5EbpxRwbbpCJUepbqVTZ1U
110,0.677,0.663,7,-6.582,0,0.0773,0.687,0,0.643,0.412,119.966,audio_features,0WdJTI3UVvUMbLwPk5ObKI,spotify:track:0WdJTI3UVvUMbLwPk5ObKI,https://api.spotify.com/v1/tracks/0WdJTI3UVvUMbLwPk5ObKI,https://api.spotify.com/v1/audio-analysis/0WdJTI3UVvUMbLwPk5ObKI,274434,4,D.D. - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
111,0.54,0.775,7,-4.118,0,0.0992,0.0598,2.93E-05,0.624,0.166,183.822,audio_features,0UGdO687azruy9tFlCxO6F,spotify:track:0UGdO687azruy9tFlCxO6F,https://api.spotify.com/v1/tracks/0UGdO687azruy9tFlCxO6F,https://api.spotify.com/v1/audio-analysis/0UGdO687azruy9tFlCxO6F,250506,4,Montreal - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
112,0.578,0.491,5,-7.107,0,0.0469,0.748,0,0.16,0.237,139.97,audio_features,58yC1Q6XKjmHeWkEWh9O6B,spotify:track:58yC1Q6XKjmHeWkEWh9O6B,https://api.spotify.com/v1/tracks/58yC1Q6XKjmHeWkEWh9O6B,https://api.spotify.com/v1/audio-analysis/58yC1Q6XKjmHeWkEWh9O6B,259004,4,Outside - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
113,0.449,0.717,2,-6.055,1,0.0549,0.419,0.000272,0.346,0.235,127.999,audio_features,0Hs5enNuaAXmJssAybWbOw,spotify:track:0Hs5enNuaAXmJssAybWbOw,https://api.spotify.com/v1/tracks/0Hs5enNuaAXmJssAybWbOw,https://api.spotify.com/v1/audio-analysis/0Hs5enNuaAXmJssAybWbOw,444213,4,XO / The Host - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
114,0.644,0.691,1,-6.348,1,0.0655,0.555,5.59E-06,0.211,0.718,139.953,audio_features,3QWENKFYGEgp3itgTnrgq9,spotify:track:3QWENKFYGEgp3itgTnrgq9,https://api.spotify.com/v1/tracks/3QWENKFYGEgp3itgTnrgq9,https://api.spotify.com/v1/audio-analysis/3QWENKFYGEgp3itgTnrgq9,260730,4,Initiation - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
115,0.795,0.562,8,-4.939,1,0.0439,0.398,1.64E-05,0.574,0.408,109.963,audio_features,37zSTGaP8bfBDGpJnUmSDl,spotify:track:37zSTGaP8bfBDGpJnUmSDl,https://api.spotify.com/v1/tracks/37zSTGaP8bfBDGpJnUmSDl,https://api.spotify.com/v1/audio-analysis/37zSTGaP8bfBDGpJnUmSDl,312059,4,Same Old Song - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
116,0.425,0.782,5,-6.52,0,0.0892,0.737,0.000181,0.5,0.41,150.092,audio_features,0JGoOLSl8A80mSPBL7ya9U,spotify:track:0JGoOLSl8A80mSPBL7ya9U,https://api.spotify.com/v1/tracks/0JGoOLSl8A80mSPBL7ya9U,https://api.spotify.com/v1/audio-analysis/0JGoOLSl8A80mSPBL7ya9U,345251,4,The Fall - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
117,0.674,0.671,6,-6.323,1,0.0403,0.824,9.05E-06,0.334,0.509,112.051,audio_features,6pG3yiKNsX03ZFTFWdOasv,spotify:track:6pG3yiKNsX03ZFTFWdOasv,https://api.spotify.com/v1/tracks/6pG3yiKNsX03ZFTFWdOasv,https://api.spotify.com/v1/audio-analysis/6pG3yiKNsX03ZFTFWdOasv,361688,4,Next - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
118,0.356,0.201,6,-12.289,0,0.0388,0.974,0.000273,0.108,0.18,130.688,audio_features,3weHnt82LuCTMa2AnZFM78,spotify:track:3weHnt82LuCTMa2AnZFM78,https://api.spotify.com/v1/tracks/3weHnt82LuCTMa2AnZFM78,https://api.spotify.com/v1/audio-analysis/3weHnt82LuCTMa2AnZFM78,239995,3,Echoes Of Silence - Original,Echoes Of Silence (Original),21-12-11,04hy4jb1GDD00otiwzsFUB
